Número de Ticket;Creado;Estado;Propietario;Asunto
202605184700273;18/5/2026;abierto;adriana.pichucho;"[Ticket#202605184700273] SOLICITUD URGENTE  – ACTUALIZACIÓN DE KERNEL: ""Dirty Frag"" - BOLETIN DE CIBERSEGURIDAD - 202605003 - [...]"
202605184700266;18/5/2026;abierto;adriana.pichucho;"[Ticket#202605184700266] SOLICITUD URGENTE – ACTUALIZACIÓN DE KERNEL: CVE-2026-31431 ""Copy Fail"" (Escalada a Root / Escape de [...]"
202605144700155;14/5/2026;Cerrado con exito;victor.freire;Re: [Ticket#202605144700155] ELABORAR INFORME ARQUITECTURA IDENTIDAD DIGITAL
202605114700108;11/5/2026;Cerrado con exito;victor.freire;Re: [Ticket#202605114700108] RV: REQUERIMIENTO DE INFORMACIÓN DE LA ORDEN DE TRABAJO 0001-DNA1-2026 DESTINATARIO HEMERSON PATRICI [...]
202605064700119;6/5/2026;Cerrado con exito;victor.freire;Re: [Ticket#202605064700119] RV: Solicitud de información INFODIGITAL - DATO SEGURO.
202605064700115;6/5/2026;Cerrado con exito;victor.freire;Re: [Ticket#202605064700115] Taller Técnico - Repaso Arquitectura App Marca Blanca y Middleware
202604284700197;28/4/2026;Cerrado con exito;victor.freire;Re: [Ticket#202604284700197] RV: COMUNICACIÓN DE RESULTADOS PROVISIONALES DE LA ORDEN DE TRABAJO 0001-DNA1-2026 DESTINATARIO HEME [...]
202604284700126;28/4/2026;Cerrado con exito;victor.freire;Re: [Ticket#202604284700126] RV: Requerimiento de Información y/o Documentación 0060-0001-DNA1-2026-RI
202604284700125;28/4/2026;Cerrado con exito;victor.freire;Re: [Ticket#202604284700125] RV: Requerimiento de información y/o Documentación 0043-0001-DNA1-2026-RI
202604244700149;24/4/2026;abierto;root@localhost;[Ticket#202604244700149] Solicitud realizar actualizaciones Windows 10 y 11 por vulnerabilidad detectada en BOLETIN DE CIBERS [...]
202604244700147;24/4/2026;Cerrado con exito;edwin.valdez;Re: [Ticket#202604244700147] Solicitud realizar actualizaciones Windows 10 y 11 por vulnerabilidad detectada en BOLETIN DE CIBERS [...]
202604244700145;24/4/2026;abierto;root@localhost;[Ticket#202604244700145] Solicitud realizar actualizaciones Windows 10 y 11 por vulnerabilidad detectada en BOLETIN DE CIBERS [...]
202604244700143;24/4/2026;abierto;nancy.guzhnay;Cambio de Propietario
202604214700130;21/4/2026;Cerrado con exito;victor.freire;Re: [Ticket#202604214700130] Requerimiento de Información y/o Documentación - 0056-0001-DNA1-2026-RI (MO)
202604204700168;20/4/2026;abierto;adriana.pichucho;[Ticket#202604204700168] Solicitud verificación en Directorio Activo por BOLETIN DE CIBERSEGURIDAD - 202604006 - VULNERABILID [...]
202604204700075;20/4/2026;Cerrado con exito;victor.freire;Re: [Ticket#202604204700075] CARGA INDICADORES DE PROCEDIMIENTOS DGTI 2026
202604174700054;17/4/2026;Cerrado con exito;root@localhost;Re: [Ticket#202604174700054] Priorización del despliegue y desarrollo de los módulos de SURI 4.0 (Solicitud documentos de acuerdo [...]
202604164700064;16/4/2026;Cerrado con exito;victor.freire;Re: [Ticket#202604164700064] REVISIÓN COMENTARIOS INDICADORES EN GPR 2026
202604154700144;15/4/2026;Cerrado con exito;victor.freire;Re: [Ticket#202604154700144] RV: REQUERIMIENTO DE INFORMACIÓN DE LA ORDEN DE TRABAJO 0001-DNA1-2026 DESTINATARIO HEMERSON PATRICI [...]
202604154700143;15/4/2026;Cerrado con exito;victor.freire;Re: [Ticket#202604154700143] RV: Requerimiento de Información y/o Documentación 0039-0001-DNA1-2026-RI
202604154700139;15/4/2026;Cerrado con exito;victor.freire;Re: [Ticket#202604154700139] RV: COMUNICACIÓN DE RESULTADOS PROVISIONALES DE LA ORDEN DE TRABAJO 0001-DNA1-2026 DESTINATARIO HEME [...]
202604154700073;15/4/2026;Cerrado con exito;victor.freire;Re: [Ticket#202604154700073] Realizar formato arquitectura de software por capas del ambiente de producción
202604074700184;7/4/2026;Cerrado con exito;enrique.lucio;Re: [Ticket#202604074700184] Solicitud actualización de Windows Admin Center por vulnerabilidades detectadas en BOLETIN DE CIBERS [...]
202604074700164;7/4/2026;abierto;adriana.pichucho;Cambio de Propietario
202604064700152;6/4/2026;Cerrado con exito;victor.freire;Re: [Ticket#202604064700152] Realización informe GPR Trimestral Perfiles de Proyecto
202603274700255;27/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603274700255] RV: Información requerida para auditorías externas Infraestructura abarca temas de: hardware, softwa [...]
202603274700254;27/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603274700254] Solicitud de documentación con base en los requerimientos del Oficio No. 0024-0001-DNA1-2026-RI de l [...]
202603204700187;20/3/2026;abierto;adriana.pichucho;Listado para descarga de parches
202603204700161;20/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603204700161] Rv: Preparación Auditoria Externa y Capacitación Manual de Calidad
202603194700165;19/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603194700165] Revisión OFICIO   No. 0023-0001-DNA1-2026-RI_CoordGenTIC_observaciones
202603184700064;18/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603184700064] Disposiciones -Auditoría EXTERNA 2026 del Sistema de Gestión de Calidad Certificado bajo la Norma IS [...]
202603184700057;18/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603184700057] Requerimiento Desarrolo y mantenimiento de software reportes GPR 2022, 2023, 2024
202603184700052;18/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603184700052] REVISIÓN Y CARGA RIESGOS 2026 DGTI DE ACUERDO A MEMORANDO Memorando Nro. DIGERCIC-CGPGE.SPP-2026-002 [...]
202603184700050;18/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603184700050] Requerimiento Gobierno de TIC módulo de inventarios SEDIP
202603174700188;17/3/2026;Cerrado con exito;edwin.valdez;Re: [Ticket#202603174700188] SOLICITUD ACTUALIZAR GOOGLE CHROME POR VULNERABILIDAD CRÍTICA — BOLETIN DE CIBERSEGURIDAD - 20251100 [...]
202603174700185;17/3/2026;Cerrado con exito;david.merchan;Re: [Ticket#202603174700185] SOLICITUD ACTUALIZAR GOOGLE CHROME POR VULNERABILIDAD CRÍTICA — BOLETIN DE CIBERSEGURIDAD - 20251100 [...]
202603174700181;17/3/2026;cerrado sin éxito;victor.freire;Re: [Ticket#202603174700181] - SOLICITUD ACTUALIZAR GOOGLE CHROME POR VULNERABILCambio de Propietario
202603174700180;17/3/2026;Cerrado con exito;nancy.guzhnay;Re: [Ticket#202603174700180] SOLICITUD ACTUALIZAR GOOGLE CHROME POR VULNERABILIDAD CRÍTICA — BOLETIN DE CIBERSEGURIDAD - 20251100 [...]
202603174700179;17/3/2026;Cerrado con exito;david.merchan;[Ticket#202603174700179] SOLICITUD ACTUALIZAR GOOGLE CHROME POR VULNERABILIDAD CRÍTICA — BOLETIN DE CIBERSEGURIDAD - 20251100 [...]
202603174700176;17/3/2026;Cerrado con exito;milton.gallo;Re: [Ticket#202603174700176] SOLICITUD ACTUALIZAR GOOGLE CHROME POR VULNERABILIDAD CRÍTICA  —  BOLETIN DE CIBERSEGURIDAD - 202511 [...]
202603174700144;17/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603174700144] — Revisión, carga y cierre documental contrato LPI-DIGERCIC-2024-01
202603174700143;17/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603174700143] RV: Requerimiento de Información y/o Documentación 0025-0001-DNA1-2026-RI
202603174700060;17/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603174700060] — Notificación de técnico delegado para cierre documental
202603164700079;16/3/2026;Cerrado con exito;santiago.puga;Atendido con éxito
202603164700072;16/3/2026;Cerrado con exito;roberto.espin;Re: [Ticket#202603164700072] Solicitud de revisión – Campaña de phishing suplantando al Ministerio del Trabajo
202603134700242;13/3/2026;Cerrado con exito;steve.toaquiza;Re: [Ticket#202603134700242] SOLICITUD ACTUALIZAR PLUGIN WORDPRESS DE PAGINA INSTITUCIONAL - BOLETIN DE CIBERSEGURIDAD - 20251200 [...]
202603134700240;13/3/2026;Cerrado con exito;roberto.espin;Re: [Ticket#202603134700240] SOLICITUD MONITOREAR Y BLOQUEAR EN EL CORREO INSTITUCIONAL DOMINIOS MALICIOSOS IDENTIFICADOS- BOLETI [...]
202603134700222;13/3/2026;cerrado, no cumple requisitos;marco.agreda;Re: [Ticket#202603134700222] SOLICITUD ACTUALIZAR PGADMIN POR VULNERABILIDAD CRÍTICA  —  BOLETIN DE CIBERSEGURIDAD - 202511004
202603134700210;13/3/2026;Cerrado con exito;enrique.lucio;Re: [Ticket#202603134700210] Actualizar Sudo a la versión 1.9.17p1 o superior - BOLETIN DE CIBERSEGURIDAD - 202510003
202603114700231;11/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603114700231] REVISIÓN DOCUMENTACIÓN INFORME COMPARACIONES ABIS
202603114700230;11/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603114700230] REVISIÓN Y CARGA DOCUMENTACION ALFRESCO ACTA PARCIAL DE MONITOREO
202603114700227;11/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603114700227] — Revisión Diseño de Diagrama de Arquitectura de Software DIG
202603114700137;11/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603114700137] Elaboración informe de factibilidad de migración a tecnologías libres
202603104700098;10/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603104700098] Actualizar Perfil de proyecto con las observaciones realizadas
202603094700283;9/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603094700283] — Fwd: SOLICITUD DE APOYO PARA ELABORACIÓN DE INFORM
202603094700103;9/3/2026;Cerrado con exito;victor.freire;Re: [Ticket#202603094700103] ACTUALIZACIÓN HERRAMIENTA GPR ENERO- FEBRERO 2026
202602274700302;27/2/2026;Cerrado con exito;victor.freire;Re: [Ticket#202602274700302] ACTUALIZAR PROCEDIMIENTO GESTION DE ARQUITECTURA INFORMATICA
202602264700187;26/2/2026;Cerrado con exito;victor.freire;Re: [Ticket#202602264700187] RESPUESTA A Oficios: No. 0007-0001-DNA1-2026-RI y No. 0014-0001-DNA1-2026-RI emitidos por la Contral [...]
202602264700186;26/2/2026;Cerrado con exito;victor.freire;Re: [Ticket#202602264700186] Revisión de documentación proceso CONTRATO No. CGAJ-DAJ-CON-2025-013
202602264700184;26/2/2026;Cerrado con exito;victor.freire;Re: [Ticket#202602264700184] RV: REPORTE TICKETS SEDIP IMPRESORAS IXLA -- MB
202602244700153;24/2/2026;Cerrado con exito;victor.freire;Re: [Ticket#202602244700153] Elaboración del informe de gestión de la DTI
202602244700040;24/2/2026;Cerrado con exito;victor.freire;Re: [Ticket#202602244700040] VALIDACIÓN INFORMACIÓN PLAN ANUAL COMPROMETIDO GPR
202602064700245;6/2/2026;Cerrado con exito;bertha.loor;Re: [Ticket#202602064700245] SOLICITUD ACTUALIZACIÓN VIA WINDOWS UPDATE A LAS ESTACIONES DE TRABAJO CON WINDOWS 1O Y WINDOWS 11 - [...]
202602064700230;6/2/2026;Cerrado con exito;bertha.loor;Re: [Ticket#202602064700230] SOLICITUD ACTUALIZACIÓN VIA WINDOWS UPDATE A LAS ESTACIONES DE TRABAJO CON WINDOWS 1O Y WINDOWS 11 - [...]
202602064700217;6/2/2026;Cerrado con exito;bertha.loor;[Ticket#202602064700217]
202602064700212;6/2/2026;Cerrado con exito;richar.cordova;Re: [Ticket#202602064700212] Actualizar Sudo a la versión 1.9.17p1 o superior -  BOLETIN DE CIBERSEGURIDAD - 202510003
202602064700205;6/2/2026;Cerrado con exito;santiago.puga;Re: [Ticket#202602064700205] Revisión del servicio RasMan en equipos con VPN activas -  Boletín de ciberseguridad 202510004
202602064700183;6/2/2026;Cerrado con exito;victor.freire;Re: [Ticket#202602064700183] CREAR INDICADORES DE OBJETIVOS OPERATIVOS EN GPR DE LA DGTI
202601274700151;27/1/2026;Cerrado con exito;victor.freire;Re: [Ticket#202601274700151] Ambiente de Desarrollo SEDIP
202601274700150;27/1/2026;Cerrado con exito;victor.freire;Re: [Ticket#202601274700150] RV: Manuales técnicos SEDIP
202601224700157;22/1/2026;Cerrado con exito;victor.freire;Re: [Ticket#202601224700157] RV: Accesos a  repositorio Alfresco Contrato LPI-DIGERCIC-02-2019
202601224700029;22/1/2026;Cerrado con exito;victor.freire;Re: [Ticket#202601224700029] SOLICITUD DE INFORMACIÓN PARA CONTRALORÍA - ORDEN DE TRABAJO 0001-DNA1-2026
202601214700034;21/1/2026;Cerrado con exito;victor.freire;Re: [Ticket#202601214700034] Encuesta de Necesidades de Capacitación 2026
202601144700016;14/1/2026;Cerrado con exito;victor.freire;Re: [Ticket#202601144700016] SOLICITUD DE APOYO TÉCNICO - ADMINISTRATIVO PARA NUEVO EXAMEN DE LA CONTRALORIA AL CONTRATO No. LPI- [...]
202601144700014;14/1/2026;Cerrado con exito;victor.freire;Re: [Ticket#202601144700014] Atención memorando DIGERCIC-CGPGE-2026-0002-M
202512314700078;31/12/2025;Cerrado con exito;victor.freire;Re: [Ticket#202512314700078] Realizar Recordatorio final Indicadores Procedimientos, Objetivos Operativos y Riesgos de la DGTI a  [...]
202512314700063;31/12/2025;cerrado sin éxito;victor.freire;Re: [Ticket#202512314700063] Notificación de técnico delegado para cierre documental del contrato No. CGAJ-DAJ-CON-2024-018
202512314700057;31/12/2025;Cerrado con exito;victor.freire;Re: [Ticket#202512314700057] — REVISAR Y SUBIR DOCUMENTACIÓN A CTI MINTEL
202512314700052;31/12/2025;cerrado sin éxito;victor.freire;Re: [Ticket#202512314700052] REVISAR Y SUBIR DOCUMENTACIÓN A CTI MINTEL
202512314700036;31/12/2025;Cerrado con exito;victor.freire;Re: [Ticket#202512314700036] ACOMPAÑAMIENTO SEGURIDAD INFORMATICA PRUEBAS POC BITDEFENDER (GAE)
202512314700033;31/12/2025;Cerrado con exito;victor.freire;Re: [Ticket#202512314700033] GAC y GAM Unidad de Arquitectura y Proyectos
202512314700021;31/12/2025;cerrado sin éxito;victor.freire;Re: [Ticket#202512314700021] ACTUALIZAR INFORME DE NECESIDAD CEVIS
202512224700238;22/12/2025;Cerrado con exito;victor.freire;Re: [Ticket#202512224700238] - Elaboración perfil proyecto Mintel CONTRATACIÓN DE SERVI
202512224700237;22/12/2025;cerrado sin éxito;victor.freire;Re: [Ticket#202512224700237] Devolución y observaciones
202512024700117;2/12/2025;Cerrado con exito;victor.freire;Re: [Ticket#202512024700117] REALIZAR RESPUESTA Memorando Nro. DIGERCIC-CGS.DSRC-2025-1016-M
202511114700328;11/11/2025;Cerrado con exito;victor.freire;Re: [Ticket#202511114700328] - Fwd: BOLETIN DE CIBERSEGURIDAD - 202510006 - POC PÚ
202511114700327;11/11/2025;Cerrado con exito;victor.freire;Re: [Ticket#202511114700327] Reporte del estado de los boletines de seguridad desde septiembre hasta el 20 de octubre de 2025
202511114700326;11/11/2025;Cerrado con exito;victor.freire;Re: [Ticket#202511114700326] BOLETIN DE CIBERSEGURIDAD - 202510005 - VULNERABILIDADES DE BITLOCKER EN WINDOWS PERMITEN A ATACANTE [...]
202511114700325;11/11/2025;Cerrado con exito;victor.freire;Re: [Ticket#202511114700325] Solicitud por ticket 202511184700005
202511114700299;11/11/2025;Cerrado con exito;victor.freire;Re: [Ticket#202511114700299] Revisión expediente quinto y sexto mantenimiento contrato SEDIP
202511114700295;11/11/2025;Cerrado con exito;victor.freire;Re: [Ticket#202511114700295] Elaborar informe de necesidad CEVIS
202511114700293;11/11/2025;Cerrado con exito;victor.freire;Re: [Ticket#202511114700293] Elaboración acta de entrega recepción definitiva certificados SSL
202511114700290;11/11/2025;Cerrado con exito;victor.freire;Re: [Ticket#202511114700290] Revisión documentación para comenzar a gestionar el pago proceso certificados SSL
202511114700284;11/11/2025;Cerrado con exito;victor.freire;Re: [Ticket#202511114700284] Gestionar reuniones viernes 7 y sábado 8 de noviembre 2025 para instalación de certificados
202511114700280;11/11/2025;Cerrado con exito;victor.freire;Re: [Ticket#202511114700280] Información y autorización geenración de certificados SSL
202511114700272;11/11/2025;Cerrado con exito;victor.freire;Re: [Ticket#202511114700272] Solicitar ajustes listado servidores para instalación certificados SSL
202511104700262;10/11/2025;Cerrado con exito;victor.freire;Re: [Ticket#202511104700262] RV: Requerimiento de información oficio 0012-0001-DNA8-AFI-2025-I-RI
202511104700256;10/11/2025;cerrado sin éxito;victor.freire;Re: [Ticket#202511104700256] — Elaboración de documentación en la fase preparatoria del pr
202511104700252;10/11/2025;Cerrado con exito;victor.freire;"Re: [Ticket#202511104700252] Gestion Administración Orden de Compra de la ""RENOVACIÓN DE CERTIFICADOS SSL PARA LOS SISTEMAS Y SER [...]"
202510234700112;23/10/2025;Cerrado con exito;victor.freire;Re: [Ticket#202510234700112] ENCUESTA DE CLIMA LABORAL Y CULTURA ORGANIZACIONAL SNGR 2025
202510144700227;14/10/2025;Cerrado con exito;victor.freire;[Ticket#202510144700227] REALIZAR PERFIL PROYECTO CONTRATACIÓN DEL SERVICIO DE ARRENDAMIENTO DE EQUIPOS DE CÓMPUTO, ALMACENAM [...]
202510134700185;13/10/2025;Cerrado con exito;victor.freire;Re: [Ticket#202510134700185] SUBIR A HERRAMIENTA GPR INFORMES TRIMESTRALES DGTI 2025
202510074700258;7/10/2025;Cerrado con exito;victor.freire;Re: [Ticket#202510074700258] REVISIÓN MEMORANDO DIGERCIC-CGAF.DF-2025-1980-M
202510064700170;6/10/2025;Cerrado con exito;victor.freire;Re: [Ticket#202510064700170] ACOMPAÑAMIENTO SEGURIDAD INFORMATICA PRUEBAS POC BITDEFENDER
202510064700169;6/10/2025;Cerrado con exito;victor.freire;Re: [Ticket#202510064700169] ACOMPAÑAMIENTO SEGURIDAD INFORMATICA PRUEBAS POC PALO ALTO XDR
202510064700168;6/10/2025;Cerrado con exito;victor.freire;Re: [Ticket#202510064700168] ACOMPAÑAMIENTO SEGURIDAD INFORMATICA PRUEBAS POC CISCO UMBRELLA
202510064700167;6/10/2025;Cerrado con exito;victor.freire;Re: [Ticket#202510064700167] ACOMPAÑAMIENTO SEGURIDAD INFORMATICA PRUEBAS POC (EDR-XDR)
202510064700165;6/10/2025;Cerrado con exito;victor.freire;Re: [Ticket#202510064700165] CARGAR INFO A GOB.EC PARA VIABILIDAD TECNOLOGIA DE SERVICIO DE ARRENDAMIENTO DE EQUIPOS DE CÓMPUTO,  [...]
202510034700256;3/10/2025;Cerrado con exito;victor.freire;Re: [Ticket#202510034700256] REALIZAR PERFIL PROYECTO CONTRATACIÓN DEL SERVICIO DE ARRENDAMIENTO DE EQUIPOS DE CÓMPUTO, ALMACENAM [...]
202510034700255;3/10/2025;Cerrado con exito;victor.freire;Re: [Ticket#202510034700255] REVISAR INFORME DE ARQUITECTURA AGENCIA VIRTUAL NUEVA
202510034700254;3/10/2025;Cerrado con exito;victor.freire;Re: [Ticket#202510034700254] REGISTRO CIVIL - Despliegue de conectores en PC de escritorio
202509194700087;19/9/2025;Cerrado con exito;victor.freire;Re: [Ticket#202509194700087] REMITIR ESTADO PRUEBAS POC KASPERSKY HASTA LA FECHA
202509184700215;18/9/2025;Cerrado con exito;victor.freire;Re: [Ticket#202509184700215] REALIZAR INFORMES GPR TRIMESTRALES JUL-SEPT 2025 UAYP
202509184700214;18/9/2025;Cerrado con exito;victor.freire;Re: [Ticket#202509184700214] Rv: Poc Kaspersky - Registro Civil/Cnt Ep 18/09/25
202509184700213;18/9/2025;Cerrado con exito;victor.freire;Re: [Ticket#202509184700213] REVISAR Y TABULAR CONTROLES EGSI EN INFORMES GPR DESDE ENERO 2025
202509164700054;16/9/2025;Cerrado con exito;victor.freire;Re: [Ticket#202509164700054] SOLICITAR DESBLOQUEO USUARIO GPR GUZMAN NEIRA CARLOS LUIS
202509164700050;16/9/2025;Cerrado con exito;victor.freire;Re: [Ticket#202509164700050] SOLICITAR DESBLOQUEO USUARIO GPR MOYA BRICEÑO ERIKA YESSENIA
202509164700049;16/9/2025;Cerrado con exito;victor.freire;Re: [Ticket#202509164700049] ACTIVACION USUARIOS
202509124700090;12/9/2025;Cerrado con exito;victor.freire;Re: [Ticket#202509124700090] REALIZAR CURSO DE ETICA
202509084700048;8/9/2025;Cerrado con exito;victor.freire;Re: [Ticket#202509084700048] REALIZAR RECORDATORIO HITOS A REPORTAR GPR DGTI JULIO-SEPTIEMBRE 2025
202509044700119;4/9/2025;Cerrado con exito;victor.freire;Re: [Ticket#202509044700119] Remisión de Reporte de No Conformidades y Primer Borrador de GAC – Dirección de Gestión TI
202509044700118;4/9/2025;Cerrado con exito;victor.freire;Re: [Ticket#202509044700118] RV: Favor detallar actividades programadas hasta el 01 de diciembre 2025.
202508284700091;28/8/2025;Cerrado con exito;victor.freire;Re: [Ticket#202508284700091] DESACTIVACION - ARIAS MELO
202508284700033;28/8/2025;Cerrado con exito;victor.freire;Re: [Ticket#202508284700033] DESACTIVACION USUARIO PATRICIA MALDONADO POR SUPRESIÓN PARTIDA
202508284700032;28/8/2025;Cerrado con exito;victor.freire;Re: [Ticket#202508284700032] HABILITACIÓN DE GPR
202508284700027;28/8/2025;Cerrado con exito;victor.freire;Re: [Ticket#202508284700027] Autorización de solicitud de permisos para herramienta GPR
202508154700052;15/8/2025;Cerrado con exito;victor.freire;Re: [Ticket#202508154700052] Delegados de funciones de la unidad de Arquitectura y Proyectos y Seguridad Informática en goce de v [...]
202508154700051;15/8/2025;Cerrado con exito;victor.freire;Re: [Ticket#202508154700051] Delegados de funciones de la unidad de Arquitectura y Proyectos y Seguridad Informática en goce de v [...]
202508154700027;15/8/2025;Cerrado con exito;victor.freire;Re: [Ticket#202508154700027] Elaboración de informe de análisis de seguridad informática sobre memorando Nro DIGERCIC-CGTIC.DIO-2 [...]
202508154700026;15/8/2025;Cerrado con exito;victor.freire;Re: [Ticket#202508154700026] Matriz de responsable, fechas y formatos de Reportes a Mintel 2025
202508074700225;7/8/2025;Cerrado con exito;victor.freire;Re: [Ticket#202508074700225] Añadir en listas negras (SPAM)
202508074700224;7/8/2025;Cerrado con exito;victor.freire;Re: [Ticket#202508074700224] REALIZAR FORMATO Y MEMORANDO PARA SOLICITUD SUMINISTROS AGO-SEPT. DGTI
202508074700221;7/8/2025;Cerrado con exito;victor.freire;Re: [Ticket#202508074700221] ACOMPAÑAMIENTO SEGURIDAD INFORMATICA PROCESO CONTRATACIÓN ANTIVIRUS KASPERSKY
202508074700218;7/8/2025;Cerrado con exito;victor.freire;Re: [Ticket#202508074700218] REPORTE Nro. 4 - Esquema Gubernamental de Seguridad de la Información - EGSI V3
202508054700064;5/8/2025;Cerrado con exito;victor.freire;Re: [Ticket#202508054700064] [TLP AMBER] Filtración de Credenciales (Solicitud de actualización manual de usuario en linea Agenci [...]
202508054700063;5/8/2025;Cerrado con exito;victor.freire;Re: [Ticket#202508054700063] [TLP AMBER] Filtración de Credenciales (Solicitud de reseteo claves por medio de Administrador de Ag [...]
202508054700023;5/8/2025;Cerrado con exito;victor.freire;Re: [Ticket#202508054700023] [TLP AMBER] Filtración de Credenciales
202507304700143;30/7/2025;Cerrado con exito;victor.freire;Re: [Ticket#202507304700143] Revisar DIGERCIC-CGTIC-2025-0045-EXT: Proyecto de Regulación para la Evaluación de Proyectos Tecnoló [...]
202507304700139;30/7/2025;Cerrado con exito;victor.freire;Re: [Ticket#202507304700139] REMITIR INFORMACIÓN DE SEGURIDAD INFORMATICA SOBRE ANTIVIRUS
202507214700191;21/7/2025;Cerrado con exito;victor.freire;Re: [Ticket#202507214700191] REALIZAR INFORME DE LAS PRUEBAS REALIZADAS DE OTOBO GESTIÓN DE CAMBIOS
202507154700340;15/7/2025;Cerrado con exito;victor.freire;Re: [Ticket#202507154700340] REALIZAR CURSO INTRODUCCIÓN A LOS DDHH
202507154700049;15/7/2025;Cerrado con exito;victor.freire;Re: [Ticket#202507154700049] ACTIVACION USUARIO - MORENO BARRERA
202507084700406;8/7/2025;Cerrado con exito;victor.freire;Re: [Ticket#202507084700406] REALIZAR MEMORANDO CON EVIDENCIA DE REPLICA DE CURSO
202507074700085;7/7/2025;Cerrado con exito;victor.freire;Re: [Ticket#202507074700085] REALIZAR REPLICA DE CONOCIMIENTOS CURSO CONTROL EN LA GESTIÓN ESTRATÉGICA Y OPERATIVA DE PROCESOS
202507034700067;3/7/2025;Cerrado con exito;victor.freire;Re: [Ticket#202507034700067] SUBIR A HERRAMIENTA GPR INFORMES TRIMESTRALES/SEMESTRALES DGTI
202507034700046;3/7/2025;Cerrado con exito;victor.freire;Re: [Ticket#202507034700046] REMITIR CERTIFICADO DE APROBACIÓN DE CURSO A TTHH
